REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kuwait,Non-communicable diseases,Universal health coverage (UHC) service coverage index,62.0,62.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
Angola,Full index,Universal health coverage (UHC) service coverage index,28.0,29.0,30.0,30.0,30.0,31.0,34.0,37.0,38.0,38.0,38.0,39.0,37.0,37.0,37.0,39.0,40.0,42.0,41.0,45.0,43.0,38.0,45.0,44.0
Vanuatu,Full index,Universal health coverage (UHC) service coverage index,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,46.0,46.0,46.0,47.0,55.0,53.0,52.0,51.0,51.0,50.0,51.0,52.0,53.0,52.0,52.0
Iceland,Full index,Universal health coverage (UHC) service coverage index,80.0,80.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,88.0,88.0,89.0,89.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0
Ukraine,Service capacity and access,Universal health coverage (UHC) service coverage index,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,90.0,79.0,91.0,87.0,88.0,87.0,88.0,91.0
Bhutan,Non-communicable diseases,Universal health coverage (UHC) service coverage index,42.0,43.0,44.0,45.0,46.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Rwanda,Non-communicable diseases,Universal health coverage (UHC) service coverage index,30.0,32.0,34.0,36.0,38.0,40.0,41.0,43.0,45.0,46.0,48.0,49.0,51.0,52.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,62.0,63.0
Malaysia,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,71.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,70.0,70.0,70.0,70.0
Rwanda,Service capacity and access,Universal health coverage (UHC) service coverage index,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,27.0,28.0,30.0,31.0,35.0,38.0,39.0,37.0,37.0,37.0,37.0,38.0
"Bahamas, The",Infectious diseases,Universal health coverage (UHC) service coverage index,88.0,89.0,89.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
Eritrea,Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,53.0,54.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,69.0,70.0,71.0,71.0,71.0,72.0
Mauritania,Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,53.0,54.0,54.0,55.0,56.0,56.0,57.0,58.0,58.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,64.0,64.0,64.0,64.0,65.0,65.0
Germany,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Iceland,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,88.0,89.0,89.0,89.0,89.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0
Myanmar,Infectious diseases,Universal health coverage (UHC) service coverage index,62.0,63.0,62.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,74.0,74.0
Guinea-Bissau,Infectious diseases,Universal health coverage (UHC) service coverage index,4.0,4.0,5.0,9.0,7.0,7.0,16.0,15.0,14.0,17.0,19.0,35.0,34.0,28.0,37.0,39.0,32.0,36.0,33.0,31.0,30.0,26.0,23.0,23.0
Brunei Darussalam,Service capacity and access,Universal health coverage (UHC) service coverage index,75.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,88.0,94.0,96.0,97.0,92.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0
Ghana,Infectious diseases,Universal health coverage (UHC) service coverage index,6.0,5.0,3.0,3.0,4.0,6.0,10.0,15.0,16.0,15.0,16.0,22.0,28.0,28.0,27.0,29.0,30.0,29.0,35.0,34.0,30.0,40.0,43.0,41.0
Peru,Service capacity and access,Universal health coverage (UHC) service coverage index,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,69.0,59.0,60.0,61.0,62.0,71.0,75.0,76.0,72.0,71.0,71.0,63.0,70.0,63.0,66.0,61.0
Poland,Service capacity and access,Universal health coverage (UHC) service coverage index,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,90.0,91.0,94.0,90.0,90.0,90.0,90.0,89.0,87.0,79.0,88.0,94.0,90.0
Iraq,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,64.0,64.0,65.0,65.0,66.0,66.0,66.0,65.0,66.0,66.0,65.0,66.0,64.0,62.0,60.0,58.0,57.0,55.0,53.0,52.0,51.0,50.0,50.0,50.0
Kazakhstan,Non-communicable diseases,Universal health coverage (UHC) service coverage index,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0,62.0,63.0,64.0,65.0,65.0,66.0,66.0,67.0,67.0
Djibouti,Infectious diseases,Universal health coverage (UHC) service coverage index,16.0,15.0,14.0,14.0,14.0,14.0,15.0,17.0,26.0,22.0,22.0,22.0,22.0,24.0,24.0,22.0,23.0,38.0,45.0,50.0,49.0,38.0,46.0,42.0
Thailand,Non-communicable diseases,Universal health coverage (UHC) service coverage index,54.0,55.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0
North Macedonia,Full index,Universal health coverage (UHC) service coverage index,57.0,57.0,57.0,58.0,58.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,63.0,65.0,66.0,67.0,68.0,68.0,66.0,67.0,67.0,68.0,68.0,69.0
"Korea, Dem. People's Rep.",Non-communicable diseases,Universal health coverage (UHC) service coverage index,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,65.0,66.0
Guinea,Infectious diseases,Universal health coverage (UHC) service coverage index,6.0,6.0,6.0,5.0,3.0,3.0,6.0,9.0,10.0,12.0,14.0,15.0,20.0,36.0,38.0,33.0,34.0,31.0,26.0,43.0,43.0,34.0,43.0,42.0
"Iran, Islamic Rep.",Service capacity and access,Universal health coverage (UHC) service coverage index,60.0,60.0,60.0,60.0,60.0,59.0,59.0,60.0,62.0,62.0,65.0,62.0,74.0,76.0,74.0,74.0,76.0,77.0,79.0,81.0,83.0,84.0,86.0,86.0
Guyana,Service capacity and access,Universal health coverage (UHC) service coverage index,53.0,52.0,51.0,51.0,50.0,50.0,49.0,48.0,48.0,47.0,45.0,59.0,60.0,61.0,62.0,65.0,68.0,70.0,73.0,85.0,93.0,92.0,77.0,64.0
"Iran, Islamic Rep.",Full index,Universal health coverage (UHC) service coverage index,68.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,72.0,72.0,73.0,73.0,76.0,77.0,77.0,77.0,78.0,78.0,79.0,80.0,80.0,81.0,81.0,81.0
Djibouti,Non-communicable diseases,Universal health coverage (UHC) service coverage index,50.0,52.0,53.0,54.0,55.0,56.0,57.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0,63.0,63.0,64.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0
Nepal,Non-communicable diseases,Universal health coverage (UHC) service coverage index,10.0,13.0,15.0,17.0,19.0,21.0,24.0,26.0,27.0,29.0,31.0,32.0,33.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,42.0,43.0,43.0
Sri Lanka,Service capacity and access,Universal health coverage (UHC) service coverage index,54.0,50.0,53.0,57.0,60.0,57.0,60.0,63.0,59.0,60.0,62.0,63.0,67.0,66.0,68.0,68.0,71.0,71.0,62.0,66.0,71.0,72.0,72.0,74.0
Mongolia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,49.0,49.0,49.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Bulgaria,Non-communicable diseases,Universal health coverage (UHC) service coverage index,37.0,38.0,38.0,39.0,40.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0
Malaysia,Full index,Universal health coverage (UHC) service coverage index,71.0,71.0,72.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,79.0,80.0,80.0
Antigua and Barbuda,Full index,Universal health coverage (UHC) service coverage index,76.0,76.0,76.0,77.0,77.0,78.0,78.0,78.0,77.0,79.0,79.0,79.0,81.0,82.0,83.0,83.0,83.0,82.0,79.0,79.0,80.0,80.0,81.0,81.0
Chad,Non-communicable diseases,Universal health coverage (UHC) service coverage index,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,65.0,66.0,66.0,67.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,71.0
United Kingdom,Infectious diseases,Universal health coverage (UHC) service coverage index,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Croatia,Infectious diseases,Universal health coverage (UHC) service coverage index,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
France,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Ecuador,Infectious diseases,Universal health coverage (UHC) service coverage index,73.0,73.0,74.0,74.0,75.0,76.0,77.0,78.0,78.0,79.0,80.0,81.0,82.0,82.0,83.0,84.0,85.0,86.0,87.0,87.0,88.0,89.0,90.0,91.0
Tanzania,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,55.0,56.0,57.0,57.0,57.0,56.0,58.0,58.0,59.0,61.0,63.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0
Canada,Service capacity and access,Universal health coverage (UHC) service coverage index,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0
Nigeria,Service capacity and access,Universal health coverage (UHC) service coverage index,32.0,32.0,32.0,32.0,31.0,31.0,31.0,32.0,32.0,29.0,31.0,30.0,29.0,32.0,35.0,38.0,40.0,35.0,34.0,32.0,27.0,35.0,37.0,39.0
Malta,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,74.0,74.0,75.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,80.0,80.0
South Sudan,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,34.0,35.0,36.0,36.0,37.0,38.0,39.0,41.0,42.0,43.0,44.0,44.0,44.0,45.0
Vanuatu,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,61.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,66.0,66.0,67.0
Denmark,Non-communicable diseases,Universal health coverage (UHC) service coverage index,37.0,39.0,40.0,41.0,43.0,44.0,45.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,53.0,54.0,55.0,56.0,56.0,57.0,58.0,58.0,59.0,60.0
China,Service capacity and access,Universal health coverage (UHC) service coverage index,68.0,68.0,66.0,67.0,69.0,69.0,70.0,71.0,72.0,74.0,76.0,77.0,79.0,83.0,86.0,88.0,89.0,92.0,92.0,94.0,96.0,98.0,98.0,98.0
Luxembourg,Service capacity and access,Universal health coverage (UHC) service coverage index,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,86.0,85.0,95.0,96.0,96.0,96.0,96.0,91.0,99.0,98.0,84.0,88.0,88.0
San Marino,Service capacity and access,Universal health coverage (UHC) service coverage index,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,75.0,77.0,79.0,80.0,82.0,83.0,85.0,69.0,69.0,69.0,66.0,66.0,66.0
Azerbaijan,Non-communicable diseases,Universal health coverage (UHC) service coverage index,48.0,49.0,50.0,51.0,52.0,53.0,54.0,54.0,55.0,56.0,57.0,57.0,58.0,58.0,59.0,59.0,59.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0
Pakistan,Service capacity and access,Universal health coverage (UHC) service coverage index,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,29.0,28.0,30.0,32.0,33.0,35.0,32.0,36.0,37.0,37.0,37.0
Bulgaria,Service capacity and access,Universal health coverage (UHC) service coverage index,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,87.0,88.0,88.0,87.0,87.0,86.0,90.0,89.0,90.0,90.0,90.0
Iraq,Service capacity and access,Universal health coverage (UHC) service coverage index,54.0,54.0,54.0,54.0,54.0,53.0,54.0,53.0,52.0,51.0,51.0,59.0,62.0,67.0,63.0,59.0,59.0,61.0,60.0,57.0,62.0,54.0,62.0,55.0
Côte d’Ivoire,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,37.0,37.0,37.0,37.0,37.0,38.0,38.0,39.0,39.0,40.0,40.0,39.0,41.0,42.0,44.0,46.0,47.0,50.0,52.0,54.0,56.0,58.0,59.0,59.0
Bangladesh,Service capacity and access,Universal health coverage (UHC) service coverage index,20.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,23.0,25.0,26.0,26.0,28.0,29.0,32.0,35.0,35.0,37.0,37.0,39.0,42.0,43.0,44.0,44.0
Guatemala,Non-communicable diseases,Universal health coverage (UHC) service coverage index,63.0,63.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0
Nauru,Full index,Universal health coverage (UHC) service coverage index,39.0,42.0,44.0,46.0,47.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,58.0,58.0,58.0,59.0,59.0,60.0,61.0,61.0,62.0
Botswana,Infectious diseases,Universal health coverage (UHC) service coverage index,27.0,30.0,35.0,41.0,46.0,50.0,52.0,54.0,57.0,59.0,61.0,63.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,73.0,74.0,74.0
Fiji,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0
Indonesia,Service capacity and access,Universal health coverage (UHC) service coverage index,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,35.0,34.0,34.0,38.0,42.0,47.0,51.0,51.0,61.0,62.0,69.0,74.0,72.0,77.0,71.0
Saudi Arabia,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,63.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,72.0,72.0
Bosnia and Herzegovina,Service capacity and access,Universal health coverage (UHC) service coverage index,70.0,69.0,70.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,77.0,79.0,81.0,82.0,82.0,83.0,83.0,69.0,70.0,71.0,72.0,71.0,70.0
Guatemala,Full index,Universal health coverage (UHC) service coverage index,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,59.0,57.0,58.0,56.0,56.0,57.0,59.0,61.0,59.0,59.0,58.0
Sudan,Full index,Universal health coverage (UHC) service coverage index,27.0,27.0,27.0,27.0,28.0,29.0,31.0,33.0,34.0,37.0,38.0,39.0,41.0,45.0,46.0,45.0,46.0,47.0,47.0,47.0,47.0,46.0,48.0,48.0
Kazakhstan,Full index,Universal health coverage (UHC) service coverage index,76.0,76.0,77.0,77.0,77.0,78.0,78.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,84.0,84.0,83.0
Chad,Full index,Universal health coverage (UHC) service coverage index,18.0,17.0,17.0,17.0,16.0,17.0,18.0,19.0,19.0,20.0,22.0,26.0,25.0,24.0,28.0,25.0,23.0,28.0,27.0,24.0,26.0,25.0,24.0,26.0
Grenada,Service capacity and access,Universal health coverage (UHC) service coverage index,72.0,72.0,72.0,72.0,72.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,70.0,74.0,76.0,78.0,78.0,76.0,82.0,80.0,77.0,74.0,70.0,80.0
Italy,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Slovak Republic,Non-communicable diseases,Universal health coverage (UHC) service coverage index,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0
Zambia,Infectious diseases,Universal health coverage (UHC) service coverage index,7.0,8.0,6.0,7.0,9.0,12.0,19.0,25.0,24.0,22.0,29.0,33.0,36.0,34.0,43.0,41.0,31.0,43.0,43.0,35.0,38.0,35.0,29.0,46.0
Lao PDR,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,42.0,42.0,43.0,42.0,42.0,42.0,43.0,45.0,48.0,51.0,53.0,55.0,58.0,58.0,58.0,57.0,57.0,55.0,59.0,61.0,64.0,66.0,68.0,70.0
Kenya,Service capacity and access,Universal health coverage (UHC) service coverage index,36.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,35.0,36.0,41.0,53.0,51.0,46.0,46.0,44.0,46.0,45.0,39.0,37.0,33.0,37.0,50.0,55.0
"Congo, Dem. Rep.",Infectious diseases,Universal health coverage (UHC) service coverage index,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,22.0,22.0,26.0,31.0,29.0,30.0,31.0,33.0,31.0,29.0,30.0,30.0,30.0,32.0,34.0
Mozambique,Service capacity and access,Universal health coverage (UHC) service coverage index,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,22.0,27.0,27.0,27.0,28.0,36.0,30.0,30.0,28.0,28.0,30.0,30.0,40.0,35.0
Croatia,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0,70.0,71.0,72.0,73.0,73.0
Vanuatu,Service capacity and access,Universal health coverage (UHC) service coverage index,29.0,29.0,29.0,29.0,29.0,29.0,29.0,28.0,28.0,29.0,29.0,31.0,33.0,60.0,55.0,51.0,48.0,46.0,44.0,49.0,52.0,58.0,52.0,53.0
Algeria,Full index,Universal health coverage (UHC) service coverage index,68.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,70.0,70.0,62.0,65.0,69.0,72.0,72.0,72.0,71.0,70.0,64.0,66.0,69.0,70.0,70.0
Malawi,Non-communicable diseases,Universal health coverage (UHC) service coverage index,47.0,48.0,49.0,51.0,52.0,53.0,55.0,56.0,57.0,58.0,60.0,61.0,62.0,64.0,65.0,66.0,68.0,69.0,70.0,71.0,72.0,72.0,73.0,73.0
St. Kitts and Nevis,Full index,Universal health coverage (UHC) service coverage index,75.0,75.0,75.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,80.0,81.0,80.0
Germany,Service capacity and access,Universal health coverage (UHC) service coverage index,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,95.0,97.0,98.0,100.0,99.0,99.0,99.0,97.0,96.0,96.0,95.0,95.0,95.0
Tonga,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0
Georgia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0
Kenya,Full index,Universal health coverage (UHC) service coverage index,29.0,28.0,29.0,28.0,31.0,36.0,41.0,43.0,44.0,45.0,46.0,52.0,54.0,53.0,53.0,53.0,55.0,56.0,54.0,52.0,49.0,53.0,57.0,57.0
Malaysia,Infectious diseases,Universal health coverage (UHC) service coverage index,92.0,92.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
St. Lucia,Service capacity and access,Universal health coverage (UHC) service coverage index,54.0,54.0,56.0,57.0,54.0,52.0,53.0,53.0,54.0,54.0,55.0,61.0,61.0,63.0,64.0,77.0,84.0,79.0,79.0,85.0,88.0,84.0,71.0,74.0
Cameroon,Full index,Universal health coverage (UHC) service coverage index,32.0,31.0,30.0,29.0,29.0,28.0,33.0,34.0,34.0,35.0,35.0,44.0,46.0,46.0,47.0,47.0,47.0,47.0,45.0,46.0,47.0,43.0,47.0,48.0
Georgia,Service capacity and access,Universal health coverage (UHC) service coverage index,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,97.0,97.0,93.0,94.0,90.0,87.0,83.0,84.0,86.0,89.0,90.0
Costa Rica,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,81.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,83.0,83.0,83.0,84.0,83.0,83.0,84.0,83.0,84.0,84.0
Germany,Non-communicable diseases,Universal health coverage (UHC) service coverage index,48.0,49.0,50.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0,62.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,67.0
Spain,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,85.0,85.0,86.0,86.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0
Mauritania,Service capacity and access,Universal health coverage (UHC) service coverage index,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,22.0,23.0,24.0,23.0,24.0,25.0,23.0,26.0,26.0,28.0,31.0,27.0
Tajikistan,Service capacity and access,Universal health coverage (UHC) service coverage index,93.0,93.0,92.0,90.0,89.0,89.0,89.0,89.0,90.0,88.0,90.0,91.0,90.0,94.0,98.0,97.0,93.0,88.0,83.0,85.0,84.0,83.0,86.0,87.0
China,Full index,Universal health coverage (UHC) service coverage index,64.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,77.0,78.0,79.0,80.0,81.0,81.0,82.0,83.0,84.0,84.0,85.0
Armenia,Full index,Universal health coverage (UHC) service coverage index,57.0,58.0,58.0,59.0,59.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,70.0,70.0,71.0,71.0,70.0,71.0,71.0,71.0,71.0,69.0
Chad,Infectious diseases,Universal health coverage (UHC) service coverage index,7.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,10.0,18.0,14.0,11.0,19.0,12.0,10.0,23.0,21.0,15.0,25.0,23.0,18.0,27.0
"Venezuela, RB",Infectious diseases,Universal health coverage (UHC) service coverage index,86.0,86.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,97.0,97.0,97.0,98.0,98.0
Eswatini,Non-communicable diseases,Universal health coverage (UHC) service coverage index,64.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
Uzbekistan,Infectious diseases,Universal health coverage (UHC) service coverage index,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
Nicaragua,Service capacity and access,Universal health coverage (UHC) service coverage index,44.0,44.0,44.0,44.0,44.0,45.0,45.0,47.0,49.0,49.0,49.0,51.0,53.0,56.0,57.0,53.0,57.0,58.0,52.0,54.0,55.0,53.0,56.0,49.0
Haiti,Infectious diseases,Universal health coverage (UHC) service coverage index,18.0,19.0,20.0,21.0,21.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,26.0,27.0,27.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0
Lesotho,Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0
Côte d’Ivoire,Infectious diseases,Universal health coverage (UHC) service coverage index,10.0,9.0,8.0,7.0,7.0,8.0,10.0,14.0,17.0,18.0,16.0,32.0,30.0,25.0,40.0,47.0,43.0,48.0,51.0,46.0,38.0,45.0,45.0,42.0
Türkiye,Non-communicable diseases,Universal health coverage (UHC) service coverage index,50.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
