REF_AREA_LABEL,FINANCIAL_HARDSHIP_LABEL,URBANIZATION_LABEL,IC_QUINTILE_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cambodia,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,18.6,16.99,14.27,,,9.36,,,,,9.64,,9.51,,10.89
Jordan,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,1.38,,,,,,1.23,,1.26,,,,,,,,,,,,,
Liberia,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,2.02,,,,,,,6.67,,3.77,,,,,,,
Tokelau (NZ),All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,,,
Norway,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Angola,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,23.41,,,,,,,,,,71.74,,,,,
Vietnam,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,56.45,,60.05,,,,43.98,,44.34,,,,26.48,,25.59,,22.51,,,
Albania,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,29.42,,,25.42,,,18.45,,,,16.14,,,,,,,,,,,
Nigeria,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,12.02,,,,,,,7.69,,,,,,,,7.79,,,,6.47,
Guinea-Bissau,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,48.65,,,,,,,,53.28,,,,,,,,46.36,,,46.73,,
Haiti,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,15.05,,,,,,,,,,,
Czechia,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,0.0,0.0,0.0,0.0,0.23,0.0,0.25,0.0,0.13,0.41,0.13,0.26,0.66,0.26,0.27,0.0,,,1.83,2.03,,2.13,3.57,1.22
Panama,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,24.49,,,,16.94,,,,,,,,,,18.01,,,,,,
Indonesia,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,29.04,47.53,43.15,,41.8,39.19,37.81,38.04,,32.67,31.77,30.59,29.14,30.15,31.41,32.96,32.03,30.74,28.43,25.91,28.39,27.63,26.12,25.24
Lithuania,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,48.08,49.94,50.47,41.36,39.19,,,,36.67,,,,,,,,37.71,,,,,19.85,,
Syrian Arab Republic,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,1.91,,,,1.51,,,,,,,,,,,,,,,,
Côte d’Ivoire,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,28.69,,,,,,23.55,,,,,,,15.72,,,22.56,,,21.72,,
Bosnia and Herzegovina,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,19.82,,,13.86,,,,,,,,,,,,,,,,,10.42,,
Argentina,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,45.63,,,,,,
Ghana,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,1.67,,,,,,,1.15,,,,0.68,,,,,,,
Zimbabwe,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,14.77,,,,,,
Belize,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,22.84,,,,,
St. Lucia,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,18.32,,,,,,,
Cameroon,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,39.35,,,,,,36.08,,,,,,,36.66,,,,,,,,32.5,
Vanuatu,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,12.92,,,,
"Congo, Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,51.14,,,,,,36.77,,,,,,,,,,,,
Niger,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,56.71,,91.25,,,,85.13,,,,,,,79.46,,,55.92,,
Wallis-et-Futuna (Fr.),All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,0.12,,,,,,,,,,,,,,,,,,
Jamaica,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,15.18,17.17,17.57,,,,20.36,21.13,18.7,,12.88,14.8,16.77,18.14,13.34,14.32,12.52,14.89,,18.48,,
Myanmar,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,3.43,,3.84,,,,,,
Uganda,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,46.44,,,46.96,,,,39.03,,,36.23,,,,33.08,,,31.37,,,,
Tuvalu,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,,,
St. Kitts and Nevis,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,10.63,,,,,,,,,,,,,,,,
Cyprus,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,20.59,,,,,,12.6,,,,,,,,14.28
Mauritius,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,11.86,,,,,,11.73
Colombia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,30.61,,29.89,,,,,,,,,,,20.62,,
Niger,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,45.01,,,,,,54.0,,,,,,,,,,,,
Barbados,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,8.81,,,,,,,
Germany,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,3.45,,,,,,,,,,,,,
Nepal,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,85.79,,,,,,,,,,88.12,88.66,89.6,85.95,,,,,,92.5,
Vanuatu,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,13.29,,,,
Samoa,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,0.0,,,,,
Malaysia,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,0.21,
Central African Republic,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,26.47,,,,,,,,,,,,,41.04,,
Samoa,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,22.31,,,,,
Rwanda,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,17.53,,,,,,,,13.86,,,12.54,,,,,,,
Grenada,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,0.64,,,,,,,,,,,,,,,
Chile,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,3.08,,,,,3.5,,,,,4.58,,,,,6.02,,
Senegal,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,0.99,,,,1.2,,,,,,1.29,,,,,,,2.58,,,2.21,,
Gabon,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,45.39,,,,,,,,,,,,72.74,,,,,,
South Africa,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,15.92,,,,,19.54,,,11.68,,,,,,14.59,,,,,,,,,
Peru,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,20.63,,,,,,21.32,21.06,20.29,20.19,19.96,20.32,18.71,17.93,17.8,16.99,16.31,16.42,16.05,16.37,17.01,17.82,19.75,
Nepal,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,1.88,,,,,,,,,,3.09,4.41,2.51,2.01,,,,,,4.43,
Italy,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,2.36,,,,,,,,,1.83,,,,,,,,,,,,,
Thailand,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,2.18,,,,1.69,,,1.74,1.53,,,,,,,1.25,,,,,,
Nigeria,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,5.44,,,,,,3.43,3.96,,4.38,,,3.99,,,2.22,,,,3.21,
Jamaica,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,2.22,1.96,2.27,,,,0.0,0.06,0.12,,0.33,0.0,0.0,0.0,0.0,0.06,0.12,0.16,,0.1,,
Estonia,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,2.66,,,3.8,3.33,4.37,,,,,,3.11,,,,,,,,,,,,
Ghana,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,77.8,,,,,,,56.77,,,,47.12,,,,,,,
Colombia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,21.73,,20.57,,,,,,17.21,,,,,12.54,,
Colombia,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,36.21,,35.96,,,,,,,,,,,13.95,,
Afghanistan,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,0.13,,,,,,5.3,,,8.95,,,,4.41,,,
Central African Republic,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,53.82,,,,,,,,,,,,,80.31,,
Botswana,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,11.81,,,,,,14.67,,,,,,,,
Central African Republic,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,1.47,,,,,,,,,,,,,1.41,,
Vanuatu,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,0.2,,,,
Slovenia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,3.79,4.89,5.95,4.89,5.98,4.61,3.41,2.32,3.12,,2.32,,3.37,,,1.82,,,4.16,,,,4.0,
Lithuania,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,20.58,22.71,25.15,22.98,25.95,,,,24.56,,,,,,,,29.86,,,,,16.48,,
Moldova,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,10.59,15.0,16.06,15.15,15.45,,21.3,27.76,26.36,26.2,26.99,24.23,25.31,26.2,,,,,,,,,,
China,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,62.98,,,,,,,,,,,,,,,,,,,,,
Costa Rica,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,14.85,,,,,
Malaysia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,3.7,
Jordan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,16.13,,,,,,,,,,,,,,,
Côte d’Ivoire,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,26.87,,,,,,21.87,,,,,,,14.19,,,15.23,,,15.74,,
Slovenia,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,33.68,32.85,32.24,29.93,29.79,26.09,25.92,26.05,26.18,26.48,23.78,,21.47,,,24.38,,,25.6,,,,27.99,
"Iran, Islamic Rep.",All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,34.77,36.43,,,35.87,,,,29.08,,,34.69,32.06,31.03,31.32,25.74,25.51,22.53,
Bangladesh,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,31.1,,,,,21.36,,,,,22.76,,,,,,24.38,,,,,,27.57,
Mali,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.32,,,0.99,,0.05,,0.14,0.2,0.14,0.04,0.01,0.02,0.06,,0.06,0.0,
Côte d’Ivoire,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,32.89,,,,,,26.81,,,,,,,17.28,,,24.63,,,24.16,,
Kosovo,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,13.49,,13.55,14.2,,,14.59,11.36,12.81,,,,,15.15,,,,,,,
Brazil,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,4.26,,,,,,,,,3.99,,,,,,
Angola,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,7.83,,,,,,,,,,6.02,,,,,
"Gambia, The",All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,50.89,,,,,39.54,,,,,,,,
Seychelles,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.0,,,,,,,1.15,,,,,,,,,,
Croatia,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,0.46,,,,0.05,0.05,0.27,,,,,,,,,,,,,
São Tomé and Príncipe,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,12.11,,,,,,,16.67,,,,,,
Samoa,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,11.74,,,,,
Ghana,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,36.52,,,,34.23,,,,,,,
Jordan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,18.88,,,,,,,,,,,,,,,
Moldova,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,11.93,11.46,13.34,13.74,11.42,11.87,18.23,15.87,13.95,11.69,11.18,10.76,11.2,10.92,,,,,,,,,,
Madagascar,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,66.14,,,,,71.61,,66.38,,,,,,,,,13.65,,
Ethiopia,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,26.4,,,,,,,31.16,,,,23.63,,,19.73,,,23.17,,
Austria,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,0.49,,,,,,9.52,,,15.15,,,,13.36,,,
Czechia,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,0.32,0.0,0.08,0.0,0.23,0.48,0.76,0.25,0.13,0.52,0.45,1.31,1.31,1.04,0.0,0.65,,,2.27,1.86,,1.79,2.45,2.15
Tokelau (NZ),Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,1.28,,,,,,,,
West Bank and Gaza,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,23.06,23.61,23.55,,21.96,,20.78,,,,,31.97,,,,,,,34.94
India,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,21.35,,,,,,,,,,,,,,,,,,,,,,20.93,
Barbados,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,23.09,,,,,,,
Vanuatu,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,21.28,,,,
Togo,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,20.59,,,,,21.13,,,,51.82,,,,,,9.08,,
"Congo, Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,30.12,,,,,,28.09,,,,,,,,,,,,
Switzerland,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,2.35,0.67,1.2,0.59,1.09,0.93,1.51,1.62,1.47,0.77,1.12,1.08,,,,,,
Moldova,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,5.91,5.57,7.29,6.79,5.89,5.47,5.17,5.3,5.93,4.99,4.74,5.22,6.15,6.0,5.07,5.64,4.61,5.12,3.53,5.58,3.65,4.56,3.47,2.57
Nicaragua,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,51.51,,,,,,,,49.67,,,,,51.71,,,,,,,,,
Pakistan,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,29.2,,,27.13,,,25.07,,,22.19,19.45,,19.98,,16.58,,,,,,,,
Slovenia,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,3.26,,3.26,,,4.94,,,4.81,,,,4.03,
Croatia,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,7.18,,,,9.2,9.38,5.93,,,,,,,,,,,,,
Albania,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,17.16,,,10.62,,,6.92,,,,9.38,,,,,4.53,,,,,,
Lesotho,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,0.45,,,,,,
Chile,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,8.51,,,,,10.19,,,,,10.0,,,,,9.68,,
Russian Federation,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,21.11,18.15,17.66,16.93,16.55,,,,,,29.83,,,,,,,,,,,,,
Argentina,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,2.39,,,,,,
Haiti,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,1.45,3.32,,,,,,,,,,
Slovenia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,6.11,4.93,5.37,5.77,6.11,6.12,5.68,6.38,6.45,7.51,5.68,,5.29,,,7.09,,,7.24,,,,4.96,
Haiti,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,26.82,,,,,,,,,,,
Cabo Verde,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,0.9,,,,,,0.0,,,,,,,,0.27,,,,,,,,
Panama,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,3.39,,,,0.35,,,,,,,,,,0.35,,,,,,
Federal Republic of Somalia,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,36.5,29.95,,,,,,
Comoros,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,32.44,,,,,,,,,
São Tomé and Príncipe,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,0.6,,,,,,,1.44,,,,,,
Senegal,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,50.43,,,,39.78,,,,,,40.74,,,,,,,23.29,,,24.49,,
